Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime,Industry
NORTH ENERGY,NO0010550056,NORTH,Euronext Expand Oslo,NOK,"2,,71","2,,81","2,,71","2,,80",26/06/2025 16:28,CET,112507.0,"314659,,54","2,,80",26/06/2025,
NORTHERN OCEAN LTD,BMG6682J1036,NOL,Oslo Børs,NOK,"5,,90","5,,96","5,,78","5,,78",26/06/2025 16:25,CET,67859.0,"401867,,47","5,,78",26/06/2025,
NORWEGIAN AIR SHUT,NO0010196140,NAS,Oslo Børs,NOK,"13,,50","13,,75","13,,45","13,,60",26/06/2025 16:28,CET,4581293.0,"62393583,,76","13,,60",26/06/2025,['Airlines']
NORWEGIAN BLOCK EX,NO0010984966,NBX,Euronext Growth Oslo,NOK,"0,,91","0,,932","0,,842","0,,872",26/06/2025 16:28,CET,3653943.0,"3235816,,53","0,,872",26/06/2025,
NRC GROUP,NO0003679102,NRC,Oslo Børs,NOK,"6,,20","6,,56","6,,12","6,,40",26/06/2025 16:25,CET,586137.0,"3712432,,07","6,,40",26/06/2025,"['Construction', 'Engineering']"
NYKODE THERAPEUTIC,NO0010714785,NYKD,Oslo Børs,NOK,"1,,882","1,,899","1,,852","1,,88",26/06/2025 16:25,CET,256045.0,"479795,,13","1,,88",26/06/2025,
OBSERVE MEDICAL,NO0013457952,OBSRV,Euronext Expand Oslo,NOK,"0,,88","1,,75","0,,795","1,,30",26/06/2025 16:29,CET,725763.0,"1057214,,72","1,,30",26/06/2025,
OCEAN GEOLOOP,NO0010914641,OCEAN,Euronext Growth Oslo,NOK,"6,,85","6,,85","6,,85","6,,85",19/06/2025 11:39,CET,2030.0,"13905,,50","6,,85",26/06/2025,
OCEAN SUN,NO0010887565,OSUN,Euronext Growth Oslo,NOK,"1,,205","1,,205","1,,205","1,,205",26/06/2025 10:06,CET,6100.0,"7350,,51","1,,205",26/06/2025,
ODFJELL DRILLING,BMG671801022,ODL,Oslo Børs,NOK,"68,,10","68,,30","67,,40","67,,60",26/06/2025 16:25,CET,210357.0,"14252396,,20","67,,60",26/06/2025,"['Oil', 'Gas Drilling']"
ODFJELL SER. A,NO0003399909,ODF,Oslo Børs,NOK,"111,,80","111,,80","107,,00","107,,80",26/06/2025 16:25,CET,26849.0,"2901478,,00","107,,80",26/06/2025,['Marine']
ODFJELL SER. B,NO0003399917,ODFB,Oslo Børs,NOK,"108,,80","108,,80","106,,00","107,,20",26/06/2025 16:25,CET,6221.0,"666466,,80","107,,20",26/06/2025,['Marine']
ODFJELL TECHNOLOGY,BMG6716L1081,OTL,Oslo Børs,NOK,"49,,30","50,,90","49,,00","49,,70",26/06/2025 16:25,CET,19445.0,"970739,,90","49,,70",26/06/2025,
OKEA,NO0010816895,OKEA,Oslo Børs,NOK,"16,,98","17,,08","16,,78","16,,80",26/06/2025 16:25,CET,122823.0,"2079493,,24","16,,80",26/06/2025,
OKEANIS ECO TANKER,MHY641771016,OET,Oslo Børs,NOK,"235,,00","235,,00","225,,00","227,,50",26/06/2025 16:25,CET,17801.0,"4038890,,50","227,,50",26/06/2025,
OLAV THON EIENDOMS,NO0005638858,OLT,Oslo Børs,NOK,"294,,00","295,,00","292,,00","295,,00",26/06/2025 16:25,CET,71316.0,"20912149,,00","295,,00",26/06/2025,['Real Estate Operating Companies']
OMDA,NO0010894512,OMDA,Euronext Growth Oslo,NOK,"48,,50","48,,50","48,,50","48,,50",26/06/2025 16:25,CET,8.0,"388,,00","48,,50",26/06/2025,
ONCOINVENT,NO0010779341,ONCIN,Euronext Growth Oslo,NOK,"1,,802","1,,95","1,,802","1,,85",26/06/2025 15:20,CET,130038.0,"249362,,73","1,,85",26/06/2025,
ORKLA,NO0003733800,ORK,Oslo Børs,NOK,"107,,80","107,,80","107,,00","107,,70",26/06/2025 16:29,CET,1288207.0,"138645357,,00","107,,70",26/06/2025,"['Packaged Foods', 'Meats']"
OTELLO CORPORATION,NO0010040611,OTEC,Oslo Børs,NOK,"11,,95","12,,00","11,,90","11,,90",26/06/2025 16:25,CET,198768.0,"2369379,,60","11,,90",26/06/2025,
OTOVO,NO0010809783,OTOVO,Oslo Børs,NOK,"1,,70","1,,796","1,,70","1,,76",26/06/2025 16:25,CET,124850.0,"220609,,54","1,,76",26/06/2025,
PANORO ENERGY,NO0010564701,PEN,Oslo Børs,NOK,"23,,25","23,,25","22,,60","22,,65",26/06/2025 16:25,CET,428417.0,"9761309,,15","22,,65",26/06/2025,"['Oil', 'Gas Exploration', 'Production']"
PARATUS ENERGY SER,BMG6904D1083,PLSV,Oslo Børs,NOK,"34,,40","34,,74","34,,18","34,,52",26/06/2025 16:25,CET,90249.0,"3115414,,18","34,,52",26/06/2025,
PARETO BANK,NO0010397581,PARB,Oslo Børs,NOK,"83,,00","83,,00","81,,70","81,,90",26/06/2025 16:26,CET,97088.0,"7968284,,30","81,,90",26/06/2025,['Diversified Banks']
PCI BIOTECH HOLD,NO0010405640,PCIB,Oslo Børs,NOK,"1,,695","1,,745","1,,585","1,,665",26/06/2025 12:20,CET,31357.0,"52777,,06","1,,665",26/06/2025,['Pharmaceuticals']
PETROLIA,CY0102630916,PSE,Oslo Børs,NOK,"3,,80","3,,80","3,,52","3,,80",26/06/2025 10:39,CET,12299.0,"46704,,79","3,,80",26/06/2025,"['Integrated Oil', 'Gas']"
PETRONOR E&P,NO0012942525,PNOR,Oslo Børs,NOK,"10,,94","11,,36","10,,80","11,,20",26/06/2025 16:25,CET,432472.0,"4814284,,76","11,,20",26/06/2025,
PEXIP HOLDING,NO0010840507,PEXIP,Oslo Børs,NOK,"58,,30","59,,60","58,,00","58,,90",26/06/2025 16:26,CET,119936.0,"7046596,,70","58,,90",26/06/2025,"['Software', 'Services']"
PHILLY SHIPYARD,NO0010395577,PHLY,Euronext Expand Oslo,NOK,"4,,23","4,,23","3,,93","3,,96",26/06/2025 16:25,CET,66083.0,"266985,,48","3,,96",26/06/2025,
PHOTOCURE,NO0010000045,PHO,Oslo Børs,NOK,"53,,40","54,,00","52,,70","53,,60",26/06/2025 16:25,CET,42328.0,"2258100,,30","53,,60",26/06/2025,['Pharmaceuticals']
PIONEER PROPERTY,NO0010735681,PPG,Euronext Expand Oslo,NOK,"100,,00","100,,00","99,,60","100,,00",26/06/2025 16:13,CET,9348.0,"934334,,80","100,,00",26/06/2025,
POLARIS MEDIA,NO0010466022,POL,Oslo Børs,NOK,"62,,50","62,,50","61,,50","62,,50",26/06/2025 16:25,CET,835.0,"51604,,00","62,,50",26/06/2025,['Publishing']
POLIGHT,NO0012535832,PLT,Oslo Børs,NOK,"3,,75","3,,795","3,,66","3,,73",26/06/2025 16:25,CET,130650.0,"486851,,60","3,,73",26/06/2025,"['Technology Hardware, Storage', 'Peripherals']"
PROSAFE,NO0010861990,PRS,Oslo Børs,NOK,"8,,37","8,,37","7,,68","7,,90",26/06/2025 16:16,CET,26203.0,"205100,,08","7,,90",26/06/2025,"['Oil', 'Gas Equipment', 'Services']"
PROTECTOR FORSIKRG,NO0010209331,PROT,Oslo Børs,NOK,"432,,00","433,,00","428,,00","428,,00",26/06/2025 16:25,CET,57126.0,"24552990,,50","428,,00",26/06/2025,
PROXIMAR SEAFOOD,NO0010893902,PROXI,Euronext Growth Oslo,NOK,"2,,42","2,,45","2,,38","2,,45",26/06/2025 15:50,CET,152510.0,"369725,,56","2,,45",26/06/2025,
PRYME,NL0015002E73,PRYME,Euronext Growth Oslo,NOK,"22,,00","23,,90","19,,10","21,,50",26/06/2025 16:17,CET,4498.0,"95226,,10","21,,50",26/06/2025,
